"","name.cell_line","name.virus","code","genome_coverage"
"6046","NCIH1155","Murine osteosarcoma virus, complete genome","NC_001506.1",11.441
"6047","MESSA","Murine osteosarcoma virus, complete genome","NC_001506.1",12.202
"6048","KMH2","Murine osteosarcoma virus, complete genome","NC_001506.1",20.388
"6049","MDAMB175VII","Murine osteosarcoma virus, complete genome","NC_001506.1",13.907
"6050","SW900","Murine osteosarcoma virus, complete genome","NC_001506.1",14.616
"6051","SUDHL4","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6052","NCCSTCK140","Murine osteosarcoma virus, complete genome","NC_001506.1",6.56
"6053","COV318","Murine osteosarcoma virus, complete genome","NC_001506.1",9.682
"6054","HCC1806","Murine osteosarcoma virus, complete genome","NC_001506.1",24.482
"6055","GA10","Murine osteosarcoma virus, complete genome","NC_001506.1",45.133
"6056","SNU503","Murine osteosarcoma virus, complete genome","NC_001506.1",3.805
"6057","PEER","Murine osteosarcoma virus, complete genome","NC_001506.1",5.3
"6058","MOLP8","Murine osteosarcoma virus, complete genome","NC_001506.1",4.12
"6059","LMSU","Murine osteosarcoma virus, complete genome","NC_001506.1",58.935
"6060","CL40","Murine osteosarcoma virus, complete genome","NC_001506.1",40.567
"6061","HUH7","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6062","CADOES1","Murine osteosarcoma virus, complete genome","NC_001506.1",39.806
"6063","MOLM6","Murine osteosarcoma virus, complete genome","NC_001506.1",3.831
"6064","OCIAML2","Murine osteosarcoma virus, complete genome","NC_001506.1",4.566
"6065","KS1","Murine osteosarcoma virus, complete genome","NC_001506.1",21.753
"6066","MDAMB134VI","Murine osteosarcoma virus, complete genome","NC_001506.1",17.764
"6067","TE15","Murine osteosarcoma virus, complete genome","NC_001506.1",18.84
"6068","AM38","Murine osteosarcoma virus, complete genome","NC_001506.1",11.309
"6069","SNU620","Murine osteosarcoma virus, complete genome","NC_001506.1",10.706
"6070","HS895T","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6071","RPMI8402","Murine osteosarcoma virus, complete genome","NC_001506.1",11.546
"6072","253J","Murine osteosarcoma virus, complete genome","NC_001506.1",9.919
"6073","HS822T","Murine osteosarcoma virus, complete genome","NC_001506.1",2.703
"6074","NCIH1385","Murine osteosarcoma virus, complete genome","NC_001506.1",22.986
"6075","HCC2108","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6076","HS939T","Murine osteosarcoma virus, complete genome","NC_001506.1",2.808
"6077","HS281T","Murine osteosarcoma virus, complete genome","NC_001506.1",7.032
"6078","KYSE520","Murine osteosarcoma virus, complete genome","NC_001506.1",7.347
"6079","HCC1263","Murine osteosarcoma virus, complete genome","NC_001506.1",12.936
"6080","KOPN8","Murine osteosarcoma virus, complete genome","NC_001506.1",9.84
"6081","RT112","Murine osteosarcoma virus, complete genome","NC_001506.1",2.519
"6082","SNU1272","Murine osteosarcoma virus, complete genome","NC_001506.1",2.913
"6083","NCIH1573","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6084","PANC0403","Murine osteosarcoma virus, complete genome","NC_001506.1",9.682
"6085","YD10B","Murine osteosarcoma virus, complete genome","NC_001506.1",3.542
"6086","SIMA","Murine osteosarcoma virus, complete genome","NC_001506.1",11.414
"6087","NCIH2087","Murine osteosarcoma virus, complete genome","NC_001506.1",2.519
"6088","HT144","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6089","KLE","Murine osteosarcoma virus, complete genome","NC_001506.1",18.552
"6090","SNU878","Murine osteosarcoma virus, complete genome","NC_001506.1",3.464
"6091","MIAPACA2","Murine osteosarcoma virus, complete genome","NC_001506.1",5.091
"6092","HCC38","Murine osteosarcoma virus, complete genome","NC_001506.1",9.551
"6093","WM793","Murine osteosarcoma virus, complete genome","NC_001506.1",3.7
"6094","SF126","Murine osteosarcoma virus, complete genome","NC_001506.1",8.502
"6095","SNU423","Murine osteosarcoma virus, complete genome","NC_001506.1",5.878
"6096","NCIH660","Murine osteosarcoma virus, complete genome","NC_001506.1",7.163
"6097","NCIH1915","Murine osteosarcoma virus, complete genome","NC_001506.1",49.698
"6098","NCIH1299","Murine osteosarcoma virus, complete genome","NC_001506.1",4.959
"6099","JHH2","Murine osteosarcoma virus, complete genome","NC_001506.1",7.085
"6100","UACC257","Murine osteosarcoma virus, complete genome","NC_001506.1",13.723
"6101","NCIH510","Murine osteosarcoma virus, complete genome","NC_001506.1",2.519
"6102","HEC59","Murine osteosarcoma virus, complete genome","NC_001506.1",4.959
"6103","HCC1576","Murine osteosarcoma virus, complete genome","NC_001506.1",17.712
"6104","COV362","Murine osteosarcoma virus, complete genome","NC_001506.1",2.545
"6105","YAPC","Murine osteosarcoma virus, complete genome","NC_001506.1",4.093
"6106","A3KAW","Murine osteosarcoma virus, complete genome","NC_001506.1",6.77
"6107","NCIH1048","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6108","SNU410","Murine osteosarcoma virus, complete genome","NC_001506.1",10.601
"6109","CJM","Murine osteosarcoma virus, complete genome","NC_001506.1",29.494
"6110","NCIH1184","Murine osteosarcoma virus, complete genome","NC_001506.1",7.268
"6111","SUM159PT","Murine osteosarcoma virus, complete genome","NC_001506.1",3.28
"6112","JHUEM3","Murine osteosarcoma virus, complete genome","NC_001506.1",11.309
"6113","UCSD242L","Murine osteosarcoma virus, complete genome","NC_001506.1",36.946
"6114","HCC2935","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6115","NCIH1930","Murine osteosarcoma virus, complete genome","NC_001506.1",2.624
"6116","ISTMES2","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6117","K029AX","Murine osteosarcoma virus, complete genome","NC_001506.1",10.811
"6118","HCC4011","Murine osteosarcoma virus, complete genome","NC_001506.1",3.936
"6119","LAMA84","Murine osteosarcoma virus, complete genome","NC_001506.1",7.531
"6120","HS688AT","Murine osteosarcoma virus, complete genome","NC_001506.1",7.4
"6121","GAMG","Murine osteosarcoma virus, complete genome","NC_001506.1",8.449
"6122","PECAPJ41CLONED2","Murine osteosarcoma virus, complete genome","NC_001506.1",20.205
"6123","SNU245","Murine osteosarcoma virus, complete genome","NC_001506.1",9.945
"6124","P31FUJ","Murine osteosarcoma virus, complete genome","NC_001506.1",10.942
"6125","SNU449","Murine osteosarcoma virus, complete genome","NC_001506.1",12.254
"6126","SNU119","Murine osteosarcoma virus, complete genome","NC_001506.1",12.464
"6127","COLO829","Murine osteosarcoma virus, complete genome","NC_001506.1",34.217
"6128","SNUC2A","Murine osteosarcoma virus, complete genome","NC_001506.1",11.178
"6129","HT1080","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6130","LOUCY","Murine osteosarcoma virus, complete genome","NC_001506.1",8.764
"6131","HCC1171","Murine osteosarcoma virus, complete genome","NC_001506.1",37.654
"6132","COLO679","Murine osteosarcoma virus, complete genome","NC_001506.1",15.35
"6133","TCCPAN2","Murine osteosarcoma virus, complete genome","NC_001506.1",2.729
"6134","NCIN417","Murine osteosarcoma virus, complete genome","NC_001506.1",27.526
"6135","LS411N","Murine osteosarcoma virus, complete genome","NC_001506.1",7.032
"6136","TM31","Murine osteosarcoma virus, complete genome","NC_001506.1",5.117
"6137","MINO","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6138","NCIH1876","Murine osteosarcoma virus, complete genome","NC_001506.1",2.519
"6139","CA46","Murine osteosarcoma virus, complete genome","NC_001506.1",39.202
"6140","HS706T","Murine osteosarcoma virus, complete genome","NC_001506.1",2.362
"6141","MUTZ5","Murine osteosarcoma virus, complete genome","NC_001506.1",14.957
"6142","OV90","Murine osteosarcoma virus, complete genome","NC_001506.1",3.936
"6143","TE1","Murine osteosarcoma virus, complete genome","NC_001506.1",2.624
"6144","NCIH1792","Murine osteosarcoma virus, complete genome","NC_001506.1",7.163
"6145","HCC827","Murine osteosarcoma virus, complete genome","NC_001506.1",11.493
"6146","NCIH2171","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6147","MOLT13","Murine osteosarcoma virus, complete genome","NC_001506.1",12.936
"6148","MONOMAC1","Murine osteosarcoma virus, complete genome","NC_001506.1",6.927
"6149","KIJK","Murine osteosarcoma virus, complete genome","NC_001506.1",43.952
"6150","KHM1B","Murine osteosarcoma virus, complete genome","NC_001506.1",15.613
"6151","UACC812","Murine osteosarcoma virus, complete genome","NC_001506.1",7.032
"6152","KG1C","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6153","KPNYN","Murine osteosarcoma virus, complete genome","NC_001506.1",26.266
"6154","SW1088","Murine osteosarcoma virus, complete genome","NC_001506.1",4.802
"6155","647V","Murine osteosarcoma virus, complete genome","NC_001506.1",7.793
"6156","CHP126","Murine osteosarcoma virus, complete genome","NC_001506.1",30.727
"6157","HUH6","Murine osteosarcoma virus, complete genome","NC_001506.1",6.376
"6158","FTC238","Murine osteosarcoma virus, complete genome","NC_001506.1",35.056
"6159","TT2609C02","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6160","KMRC1","Murine osteosarcoma virus, complete genome","NC_001506.1",22.304
"6161","COLO783","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6162","NCIH2009","Murine osteosarcoma virus, complete genome","NC_001506.1",55.786
"6163","HUTU80","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6164","REC1","Murine osteosarcoma virus, complete genome","NC_001506.1",17.266
"6165","DEL","Murine osteosarcoma virus, complete genome","NC_001506.1",65.127
"6166","A2058","Murine osteosarcoma virus, complete genome","NC_001506.1",7.111
"6167","ECGI10","Murine osteosarcoma virus, complete genome","NC_001506.1",25.531
"6168","TE10","Murine osteosarcoma virus, complete genome","NC_001506.1",7.032
"6169","SKNBE2","Murine osteosarcoma virus, complete genome","NC_001506.1",5.458
"6170","NCIH1092","Murine osteosarcoma virus, complete genome","NC_001506.1",3.857
"6171","GB1","Murine osteosarcoma virus, complete genome","NC_001506.1",34.768
"6172","OAW42","Murine osteosarcoma virus, complete genome","NC_001506.1",10.234
"6173","LCLC103H","Murine osteosarcoma virus, complete genome","NC_001506.1",11.231
"6174","JHUEM2","Murine osteosarcoma virus, complete genome","NC_001506.1",15.534
"6175","LUDLU1","Murine osteosarcoma virus, complete genome","NC_001506.1",22.094
"6176","CL14","Murine osteosarcoma virus, complete genome","NC_001506.1",51.509
"6177","HT","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6178","M07E","Murine osteosarcoma virus, complete genome","NC_001506.1",12.175
"6179","HCC1833","Murine osteosarcoma virus, complete genome","NC_001506.1",39.019
"6180","HCC1493","Murine osteosarcoma virus, complete genome","NC_001506.1",8.58
"6181","JHH5","Murine osteosarcoma virus, complete genome","NC_001506.1",24.902
"6182","NCIH2444","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6183","DV90","Murine osteosarcoma virus, complete genome","NC_001506.1",52.375
"6184","KMS34","Murine osteosarcoma virus, complete genome","NC_001506.1",4.225
"6185","PANC0504","Murine osteosarcoma virus, complete genome","NC_001506.1",11.703
"6186","SKNMC","Murine osteosarcoma virus, complete genome","NC_001506.1",8.764
"6187","HSC4","Murine osteosarcoma virus, complete genome","NC_001506.1",9.473
"6188","GI1","Murine osteosarcoma virus, complete genome","NC_001506.1",23.957
"6189","WM1799","Murine osteosarcoma virus, complete genome","NC_001506.1",7.032
"6190","HPBALL","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6191","MHHCALL4","Murine osteosarcoma virus, complete genome","NC_001506.1",17.397
"6192","TE4","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6193","OV56","Murine osteosarcoma virus, complete genome","NC_001506.1",23.301
"6194","HMC18","Murine osteosarcoma virus, complete genome","NC_001506.1",7.111
"6195","NCIH2085","Murine osteosarcoma virus, complete genome","NC_001506.1",5.825
"6196","SKNFI","Murine osteosarcoma virus, complete genome","NC_001506.1",14.537
"6197","WSUNHL","Murine osteosarcoma virus, complete genome","NC_001506.1",3.018
"6198","PK59","Murine osteosarcoma virus, complete genome","NC_001506.1",18.184
"6199","UBLC1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.137
"6200","NCIH929","Murine osteosarcoma virus, complete genome","NC_001506.1",14.143
"6201","BL70","Murine osteosarcoma virus, complete genome","NC_001506.1",30.517
"6202","COLO792","Murine osteosarcoma virus, complete genome","NC_001506.1",16.137
"6203","A704","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6204","NCIH684","Murine osteosarcoma virus, complete genome","NC_001506.1",2.519
"6205","RCHACV","Murine osteosarcoma virus, complete genome","NC_001506.1",13.015
"6206","WIDR","Murine osteosarcoma virus, complete genome","NC_001506.1",3.018
"6207","GDM1","Murine osteosarcoma virus, complete genome","NC_001506.1",30.333
"6208","CMK","Murine osteosarcoma virus, complete genome","NC_001506.1",22.068
"6209","PK45H","Murine osteosarcoma virus, complete genome","NC_001506.1",18.184
"6210","CL34","Murine osteosarcoma virus, complete genome","NC_001506.1",6.822
"6211","HS698T","Murine osteosarcoma virus, complete genome","NC_001506.1",4.172
"6212","J82","Murine osteosarcoma virus, complete genome","NC_001506.1",7.61
"6213","KP2","Murine osteosarcoma virus, complete genome","NC_001506.1",6.927
"6214","A204","Murine osteosarcoma virus, complete genome","NC_001506.1",6.927
"6215","TE617T","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6216","YMB1","Murine osteosarcoma virus, complete genome","NC_001506.1",3.254
"6217","SNU1196","Murine osteosarcoma virus, complete genome","NC_001506.1",6.088
"6218","KMRC2","Murine osteosarcoma virus, complete genome","NC_001506.1",14.458
"6219","G402","Murine osteosarcoma virus, complete genome","NC_001506.1",38.336
"6220","U87MG","Murine osteosarcoma virus, complete genome","NC_001506.1",3.044
"6221","A4FUK","Murine osteosarcoma virus, complete genome","NC_001506.1",6.35
"6222","EN","Murine osteosarcoma virus, complete genome","NC_001506.1",29.73
"6223","KASUMI2","Murine osteosarcoma virus, complete genome","NC_001506.1",7.216
"6224","PANC0327","Murine osteosarcoma virus, complete genome","NC_001506.1",11.519
"6225","JMSU1","Murine osteosarcoma virus, complete genome","NC_001506.1",9.263
"6226","KPL1","Murine osteosarcoma virus, complete genome","NC_001506.1",10.26
"6227","SF268","Murine osteosarcoma virus, complete genome","NC_001506.1",14.826
"6228","BICR6","Murine osteosarcoma virus, complete genome","NC_001506.1",12.779
"6229","SW1573","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6230","SF539","Murine osteosarcoma virus, complete genome","NC_001506.1",10.601
"6231","SNU886","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6232","EOL1","Murine osteosarcoma virus, complete genome","NC_001506.1",52.978
"6233","WM88","Murine osteosarcoma virus, complete genome","NC_001506.1",6.954
"6234","SNU478","Murine osteosarcoma virus, complete genome","NC_001506.1",8.633
"6235","A253","Murine osteosarcoma virus, complete genome","NC_001506.1",14.458
"6236","ONS76","Murine osteosarcoma virus, complete genome","NC_001506.1",4.146
"6237","RKOE6","Murine osteosarcoma virus, complete genome","NC_001506.1",9.709
"6238","NCIH3255","Murine osteosarcoma virus, complete genome","NC_001506.1",18.971
"6239","NCIH2452","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6240","KMBC2","Murine osteosarcoma virus, complete genome","NC_001506.1",12.306
"6241","SKM1","Murine osteosarcoma virus, complete genome","NC_001506.1",12.49
"6242","RERFLCAI","Murine osteosarcoma virus, complete genome","NC_001506.1",10.207
"6243","NCIH2172","Murine osteosarcoma virus, complete genome","NC_001506.1",12.464
"6244","VMRCRCW","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6245","SNU1","Murine osteosarcoma virus, complete genome","NC_001506.1",3.7
"6246","P12ICHIKAWA","Murine osteosarcoma virus, complete genome","NC_001506.1",20.992
"6247","KE37","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6248","SW1417","Murine osteosarcoma virus, complete genome","NC_001506.1",12.7
"6249","MOR","Murine osteosarcoma virus, complete genome","NC_001506.1",27.473
"6250","NCO2","Murine osteosarcoma virus, complete genome","NC_001506.1",12.175
"6251","OVCAR4","Murine osteosarcoma virus, complete genome","NC_001506.1",7.846
"6252","NCIH810","Murine osteosarcoma virus, complete genome","NC_001506.1",11.519
"6253","OVSAHO","Murine osteosarcoma virus, complete genome","NC_001506.1",12.149
"6254","TE159T","Murine osteosarcoma virus, complete genome","NC_001506.1",6.298
"6255","HL60","Murine osteosarcoma virus, complete genome","NC_001506.1",7.085
"6256","LOUNH91","Murine osteosarcoma virus, complete genome","NC_001506.1",7.163
"6257","NCIH747","Murine osteosarcoma virus, complete genome","NC_001506.1",4.172
"6258","NCIH441","Murine osteosarcoma virus, complete genome","NC_001506.1",7.347
"6259","CAOV4","Murine osteosarcoma virus, complete genome","NC_001506.1",3.988
"6260","BICR31","Murine osteosarcoma virus, complete genome","NC_001506.1",17.633
"6261","NCIH1341","Murine osteosarcoma virus, complete genome","NC_001506.1",3.516
"6262","HUCCT1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.478
"6263","SKMEL30","Murine osteosarcoma virus, complete genome","NC_001506.1",11.467
"6264","JM1","Murine osteosarcoma virus, complete genome","NC_001506.1",6.665
"6265","T173","Murine osteosarcoma virus, complete genome","NC_001506.1",6.954
"6266","JHUEM7","Murine osteosarcoma virus, complete genome","NC_001506.1",9.027
"6267","CALU3","Murine osteosarcoma virus, complete genome","NC_001506.1",32.196
"6268","KMRC20","Murine osteosarcoma virus, complete genome","NC_001506.1",10.968
"6269","SUPB15","Murine osteosarcoma virus, complete genome","NC_001506.1",5.038
"6270","KYSE450","Murine osteosarcoma virus, complete genome","NC_001506.1",7.163
"6271","KASUMI1","Murine osteosarcoma virus, complete genome","NC_001506.1",4.172
"6272","NALM6","Murine osteosarcoma virus, complete genome","NC_001506.1",7.268
"6273","HS606T","Murine osteosarcoma virus, complete genome","NC_001506.1",7.085
"6274","JHOM2B","Murine osteosarcoma virus, complete genome","NC_001506.1",9.027
"6275","KPNRTBM1","Murine osteosarcoma virus, complete genome","NC_001506.1",12.569
"6276","EM2","Murine osteosarcoma virus, complete genome","NC_001506.1",48.806
"6277","T24","Murine osteosarcoma virus, complete genome","NC_001506.1",7.741
"6278","YH13","Murine osteosarcoma virus, complete genome","NC_001506.1",6.954
"6279","HLFA","Murine osteosarcoma virus, complete genome","NC_001506.1",10.05
"6280","RL952","Murine osteosarcoma virus, complete genome","NC_001506.1",7.111
"6281","HEC1A","Murine osteosarcoma virus, complete genome","NC_001506.1",12.543
"6282","NCIH2106","Murine osteosarcoma virus, complete genome","NC_001506.1",9.682
"6283","IGROV1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.032
"6284","NUGC2","Murine osteosarcoma virus, complete genome","NC_001506.1",15.796
"6285","NCIH1793","Murine osteosarcoma virus, complete genome","NC_001506.1",6.612
"6286","HUH1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.452
"6287","HCC1319","Murine osteosarcoma virus, complete genome","NC_001506.1",3.936
"6288","SNU1079","Murine osteosarcoma virus, complete genome","NC_001506.1",17.082
"6289","SNU5","Murine osteosarcoma virus, complete genome","NC_001506.1",10.155
"6290","SNU475","Murine osteosarcoma virus, complete genome","NC_001506.1",5.878
"6291","HT1376","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6292","U118MG","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6293","HPAFII","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6294","MPP89","Murine osteosarcoma virus, complete genome","NC_001506.1",6.954
"6295","KMS27","Murine osteosarcoma virus, complete genome","NC_001506.1",21.149
"6296","SW1271","Murine osteosarcoma virus, complete genome","NC_001506.1",6.901
"6297","JURKAT","Murine osteosarcoma virus, complete genome","NC_001506.1",8.371
"6298","SNU1033","Murine osteosarcoma virus, complete genome","NC_001506.1",6.744
"6299","SKLMS1","Murine osteosarcoma virus, complete genome","NC_001506.1",14.012
"6300","SNU387","Murine osteosarcoma virus, complete genome","NC_001506.1",9.289
"6301","CHL1","Murine osteosarcoma virus, complete genome","NC_001506.1",2.834
"6302","GTL16","Murine osteosarcoma virus, complete genome","NC_001506.1",14.065
"6303","LP1","Murine osteosarcoma virus, complete genome","NC_001506.1",6.77
"6304","JHOC5","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6305","TYKNUCPR","Murine osteosarcoma virus, complete genome","NC_001506.1",56.704
"6306","CHAGOK1","Murine osteosarcoma virus, complete genome","NC_001506.1",27.84
"6307","NCIH1651","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6308","PSN1","Murine osteosarcoma virus, complete genome","NC_001506.1",9.63
"6309","NCIH358","Murine osteosarcoma virus, complete genome","NC_001506.1",4.12
"6310","D341MED","Murine osteosarcoma virus, complete genome","NC_001506.1",39.78
"6311","PLCPRF5","Murine osteosarcoma virus, complete genome","NC_001506.1",10.89
"6312","SNU1077","Murine osteosarcoma virus, complete genome","NC_001506.1",12.306
"6313","OCUM1","Murine osteosarcoma virus, complete genome","NC_001506.1",9.368
"6314","RH30","Murine osteosarcoma virus, complete genome","NC_001506.1",11.467
"6315","NCIH1105","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6316","C32","Murine osteosarcoma virus, complete genome","NC_001506.1",9.21
"6317","PATU8988S","Murine osteosarcoma virus, complete genome","NC_001506.1",19.969
"6318","NCIH2228","Murine osteosarcoma virus, complete genome","NC_001506.1",16.164
"6319","SKCO1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.242
"6320","SKOV3","Murine osteosarcoma virus, complete genome","NC_001506.1",3.857
"6321","EFO21","Murine osteosarcoma virus, complete genome","NC_001506.1",10.05
"6322","MOLM16","Murine osteosarcoma virus, complete genome","NC_001506.1",10.994
"6323","TT_THYROID","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6324","NCIH2286","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6325","SR786","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6326","MDAMB436","Murine osteosarcoma virus, complete genome","NC_001506.1",9.105
"6327","SNU719","Murine osteosarcoma virus, complete genome","NC_001506.1",11.336
"6328","KNS42","Murine osteosarcoma virus, complete genome","NC_001506.1",12.753
"6329","PF382","Murine osteosarcoma virus, complete genome","NC_001506.1",11.414
"6330","CAPAN2","Murine osteosarcoma virus, complete genome","NC_001506.1",41.485
"6331","NCIH508","Murine osteosarcoma virus, complete genome","NC_001506.1",6.98
"6332","SNU626","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6333","SUPT11","Murine osteosarcoma virus, complete genome","NC_001506.1",7.61
"6334","SNU1040","Murine osteosarcoma virus, complete genome","NC_001506.1",10.076
"6335","KCIMOH1","Murine osteosarcoma virus, complete genome","NC_001506.1",17.292
"6336","KMS11","Murine osteosarcoma virus, complete genome","NC_001506.1",35.45
"6337","NAMALWA","Murine osteosarcoma virus, complete genome","NC_001506.1",22.697
"6338","MM1S","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6339","KARPAS299","Murine osteosarcoma virus, complete genome","NC_001506.1",12.884
"6340","SQ1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6341","NCIH520","Murine osteosarcoma virus, complete genome","NC_001506.1",19.339
"6342","HEC6","Murine osteosarcoma virus, complete genome","NC_001506.1",11.336
"6343","CALU6","Murine osteosarcoma virus, complete genome","NC_001506.1",31.645
"6344","ME1","Murine osteosarcoma virus, complete genome","NC_001506.1",11.362
"6345","MEWO","Murine osteosarcoma virus, complete genome","NC_001506.1",16.557
"6346","PANC0813","Murine osteosarcoma virus, complete genome","NC_001506.1",7.715
"6347","KMS20","Murine osteosarcoma virus, complete genome","NC_001506.1",2.624
"6348","NALM1","Murine osteosarcoma virus, complete genome","NC_001506.1",6.927
"6349","L428","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6350","LU65","Murine osteosarcoma virus, complete genome","NC_001506.1",72.186
"6351","501A","Murine osteosarcoma virus, complete genome","NC_001506.1",14.563
"6352","BFTC905","Murine osteosarcoma virus, complete genome","NC_001506.1",41.17
"6353","SUDHL1","Murine osteosarcoma virus, complete genome","NC_001506.1",6.98
"6354","NCIH209","Murine osteosarcoma virus, complete genome","NC_001506.1",7.819
"6355","COLO201","Murine osteosarcoma virus, complete genome","NC_001506.1",32.459
"6356","H4","Murine osteosarcoma virus, complete genome","NC_001506.1",11.178
"6357","RDES","Murine osteosarcoma virus, complete genome","NC_001506.1",10.548
"6358","HS852T","Murine osteosarcoma virus, complete genome","NC_001506.1",7.505
"6359","LU99","Murine osteosarcoma virus, complete genome","NC_001506.1",8.161
"6360","SW780","Murine osteosarcoma virus, complete genome","NC_001506.1",6.219
"6361","SKMEL31","Murine osteosarcoma virus, complete genome","NC_001506.1",6.901
"6362","LOVO","Murine osteosarcoma virus, complete genome","NC_001506.1",6.271
"6363","KMRC3","Murine osteosarcoma virus, complete genome","NC_001506.1",7.242
"6364","NCIH716","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6365","HS821T","Murine osteosarcoma virus, complete genome","NC_001506.1",9.21
"6366","LXFL529","Murine osteosarcoma virus, complete genome","NC_001506.1",3.936
"6367","L33","Murine osteosarcoma virus, complete genome","NC_001506.1",52.112
"6368","SKMEL1","Murine osteosarcoma virus, complete genome","NC_001506.1",2.047
"6369","NCIH2347","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6370","HEC151","Murine osteosarcoma virus, complete genome","NC_001506.1",5.169
"6371","HCC1438","Murine osteosarcoma virus, complete genome","NC_001506.1",46.523
"6372","MALME3M","Murine osteosarcoma virus, complete genome","NC_001506.1",19.391
"6373","SHP77","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6374","NCIH727","Murine osteosarcoma virus, complete genome","NC_001506.1",16.085
"6375","MKN74","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6376","MHHCALL2","Murine osteosarcoma virus, complete genome","NC_001506.1",10.575
"6377","PANC1005","Murine osteosarcoma virus, complete genome","NC_001506.1",7.426
"6378","8505C","Murine osteosarcoma virus, complete genome","NC_001506.1",11.782
"6379","NCIH2030","Murine osteosarcoma virus, complete genome","NC_001506.1",2.572
"6380","CAL851","Murine osteosarcoma virus, complete genome","NC_001506.1",29.31
"6381","OCILY19","Murine osteosarcoma virus, complete genome","NC_001506.1",15.796
"6382","JHH4","Murine osteosarcoma virus, complete genome","NC_001506.1",6.271
"6383","BFTC909","Murine osteosarcoma virus, complete genome","NC_001506.1",47.337
"6384","BT483","Murine osteosarcoma virus, complete genome","NC_001506.1",39.885
"6385","697","Murine osteosarcoma virus, complete genome","NC_001506.1",3.883
"6386","HCC56","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6387","EJM","Murine osteosarcoma virus, complete genome","NC_001506.1",12.779
"6388","HEC265","Murine osteosarcoma virus, complete genome","NC_001506.1",7.741
"6389","SUPT1","Murine osteosarcoma virus, complete genome","NC_001506.1",7.111
"6390","TOV21G","Murine osteosarcoma virus, complete genome","NC_001506.1",9
"6391","JHOS4","Murine osteosarcoma virus, complete genome","NC_001506.1",7.268
"6392","TUHR10TKB","Murine osteosarcoma virus, complete genome","NC_001506.1",9.368
"6393","NCIH1734","Murine osteosarcoma virus, complete genome","NC_001506.1",10.968
"6394","BEN","Murine osteosarcoma virus, complete genome","NC_001506.1",52.821
"6395","HS819T","Murine osteosarcoma virus, complete genome","NC_001506.1",7.006
"6396","HEC50B","Murine osteosarcoma virus, complete genome","NC_001506.1",6.35
"6397","NCIH1869","Murine osteosarcoma virus, complete genome","NC_001506.1",20.467
"6398","KMM1","Murine osteosarcoma virus, complete genome","NC_001506.1",63.422
